cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gni_per_cap,under_5_mort_rate,pop_growth_perc,classify
417.4,5.44951457868676,179.271884079676,565.451027196188,4367.397,129.971142081192,15.2907279897761,12.3998220487,820.0,239.1,3.03486600826632,green
2666.1,1.28557881763899,173.122857268895,1434.96060066516,117021.304,426.614517117445,39.119646140419,4.77246763254,3960.0,25.8,1.37259321757337,red
1603.3,1.30691206293886,208.686644459616,4926.72778292062,281530.258,689.948873376794,60.3567981948623,7.91527299734,18380.0,8.6,1.27457749765855,green
5463.0,0.209141663473539,128.939159582508,3381.07379003113,65888.656,322.186648315368,19.746120574199,20.991142712,21200.0,8.9,1.1349991250421,green
2585.7,0.0044914699288844,154.496129842966,116.511475882494,15940.449,196.135681928746,9.44370431543193,1.5379218511,300.0,137.9,2.35919934068732,green
3990.0,0.510803226732379,367.387479550323,2560.05444856348,59706.094,992.61852960576,13.7892608897127,2.41686992785,1620.0,22.3,-0.991362523475423,red
1358.0,0.97318874574732,124.898118124591,394.957523180048,5779.192,268.213774682319,25.6559816397053,8.58362240762,760.0,116.7,2.30664303808592,green
1850.6,0.270782606204945,131.112804461359,939.25664742651,219330.604,201.231976665919,35.1379137977368,10.9945413211,2870.0,57.1,1.65458052183399,green
2580.7,0.480499567323563,283.945526351508,7388.56367426004,449053.486,612.5764624061279,39.9682916145998,6.01616041194,20420.0,8.0,1.36050604544286,red
6292.7,1.17791200474775,111.040847559158,3628.0025,42350.183,190.616973138534,15.0756029411765,14.8603846479,34800.0,7.8,1.30256421951548,red
4050.8,2.25866517170375,147.906920191164,1032.61707689484,32991.999,351.887597984903,35.0247722985126,15.9677661676,2500.0,17.5,1.8146251849855,red
4232.7,1.1505561600763,627.922681111306,744.485727941049,2584538.27,1894.26378182123,9.28486887154799,13.5681521574,350.0,47.4,1.36443400840349,green
844.2,0.155402646377575,185.978572985287,343.706723683519,5636.179,235.574394451449,16.8566061171585,22.5924660275,720.0,152.7,3.36315514788249,green
1178.6,-0.116596591555468,206.140645641911,401.288150332197,1111.101,45.5525917161928,14.0561651549764,7.14354130803,860.0,137.6,2.82556058660347,green
707.3,1.2020251393877,93.929089014358,332.930986846448,1265.115,145.449526370392,29.6348155495371,5.43991864343,950.0,114.8,2.68602349414521,green
2450.7,1.10791699892495,119.217829363359,729.181570052158,57120.859,275.893809401515,31.2471286903023,20.3468302036,1230.0,35.4,1.92882415968439,red
3298.9,2.49073427660202,106.723848347705,666.213389819254,3336.97,169.840572309468,24.202886716902,19.8340314775,2370.0,16.7,2.48371844648484,green
5986.1,0.262538711953625,160.757770493381,4306.24443222436,960992.355,448.36039961669,7.91036193666108,32.2668644759,22170.0,8.1,0.728771986658801,red
5911.5,1.13575991229603,145.298659543941,3735.29355840124,61433.251,463.656073529,20.0834303453628,4.78178766701,25290.0,8.3,0.272003259144814,red
4130.7,1.49109778328715,148.214162356362,562.187441500657,10135.588,364.058980197354,21.1038654049837,22.1327798134413,1030.0,59.5,1.99752184873127,red
1114.5,0.0254590237921263,151.220718752405,905.415887663051,81458.738,524.673305424178,7.15233300013575,6.30637456893,2030.0,65.2,2.46501327286438,green
1673.9,1.40988546871451,104.670150837242,592.925543036269,16486.832,277.357311189313,26.042050038986,21.9989857149,970.0,49.8,2.24457766794577,green
5612.9,0.684328377455141,174.093787248583,558.775405727039,78715.822,423.191273978645,21.2101845125065,1.94377265021,720.0,88.4,1.93238229197352,green
4816.47882560464,1.0951312357938,150.105532564567,3553.22495204152,2718904.68792074,375.170222251768,17.5936171117926,12.1596244724101,18573.2620916544,9.2604685717,0.474192441207293,red
2490.7,2.22927829703582,118.679357944427,2399.61224015481,235080.369,298.583037288822,22.0228408243139,7.90938914304,13340.0,10.4,0.265346585642195,red
3347.6,-0.185961337099806,265.526246130631,5742.48643797367,54891.323,506.205484488688,17.8441364180295,8.67357750311,24330.0,6.4,0.560001428133874,red
6537.9,1.21669106403233,165.573428355472,4047.29528720042,427667.542,299.30306435149004,22.0954981117578,10.3955808098,21020.0,8.4,0.465920768759981,red
6467.6,1.55813319304026,159.199977531079,3708.49356508206,593808.311,443.906515176434,25.9155675977965,22.1977827638,17230.0,8.8,0.309247932319381,red
1220.8,0.303049663822132,387.538025598478,359.82177600577,4044.701,286.291864046985,12.9579506172823,13.9953188137,410.0,118.5,2.81740972381606,green
4123.9,1.12176782015112,118.068245477558,2106.87173489279,67615.813,369.314131806359,29.9824171539961,5.75464161782,9520.0,12.1,0.969597662700104,red
1810.0,0.964268128998735,150.359245783176,507.428249514187,5053.126,163.980836032021,8.84912071814443,25.9599151584,990.0,73.9,2.30379611151021,green
1316.6,1.69791898935525,178.882592962367,477.518195813953,2698.912,201.127548154189,11.8632907373475,13.6007430006,620.0,55.2,2.77407591080524,green
5486.1,4.37386592139619,243.467046242419,2634.77037422639,63435.433,565.0777396966839,19.1091541828137,4.65611076215,2780.0,17.7,-0.0056681830315298,red
3862.1,1.15629486437698,263.078971773833,565.993391367808,179730.671,445.663796978948,9.83539875317281,10.2226722192,600.0,81.0,1.67076500086434,green
1926.3,0.0274882905847983,308.585808396461,380.237682480699,737851.738,691.04494854828,10.1853642689809,5.02332898715,350.0,111.9,1.98311321973801,green
6550.1,2.80788618769039,159.039721448186,2840.68865757155,33109.343,525.7595578708309,26.010239101455,0.901821756772,12590.0,8.5,0.566025794629971,red
